,Dongvi,Ten,m,N1,Sigma,w,Area,Sigma_w,w_lithuyet,Saiso
0,56Mn,  SS1,0.5,373,5.78,0.06321839080459771,373,,,
1,56Mn,   SS2,0.8,613,4.19,0.10114942528735633,613,,,
2,56Mn,   SS3,1.5,1062,3.15,0.1896551724137931,1062,,,
3,56Mn, X1,1.2,913,3.46,0.16067641720954592,913,0.007358921933023159,0.15172413793103448,5.900365888109816
4,56Mn, X2,0.6,413,5.29,0.0680524930974687,413,0.007355567017451389,0.07586206896551724,10.29444091697307
5,56Mn, X3,0.6,453,5.06,0.07546240702643488,453,0.007355835467006284,0.07586206896551724,0.5268271015176603
6,52V, SS1,1.5,247,6.51,0.16813186813186812,247,,,
7,52V,  SS2,1.0,164,8.09,0.1120879120879121,164,,,
8,52V,   SS3,0.7,127,9.67,0.07846153846153846,127,,,
9,52V,  X1,1.2,179,8.41,0.1193154008142092,179,0.01023818119794406,0.1345054945054945,11.293288610351004
10,52V,  X2,0.9,147,9.19,0.09579168117609285,147,0.010233480606598492,0.10087912087912088,5.043104716509261
11,52V,  X3,0.9,154,8.66,0.1009374948469308,154,0.01023450904543397,0.10087912087912088,0.05786526220810041
